epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2936,0.98088,1.25459,1.07213,0.97116,0.95401,0.98375,0.72484,0.93984,0.70971,1.0274,0.000664384,0.000664384,0.000664384
2,65.1699,0.92868,0.73117,1.05678,0.94899,0.94874,0.97466,0.71357,0.95792,0.86703,1.07285,0.00131787,0.00131787,0.00131787
3,95.349,0.90833,0.63694,1.06396,0.96247,0.9625,0.98291,0.75948,0.81503,0.91833,1.02079,0.00195816,0.00195816,0.00195816
4,125.694,0.87571,0.57761,1.05409,0.98088,0.95822,0.97983,0.745,0.85927,0.53076,1.04671,0.0019406,0.0019406,0.0019406
5,156.626,0.85423,0.54256,1.05381,0.98304,0.9852,0.99029,0.77556,0.77225,0.43686,1.00874,0.0019208,0.0019208,0.0019208
6,187.53,0.83163,0.51856,1.04619,0.97678,0.98295,0.99099,0.78075,0.75472,0.40732,0.99405,0.001901,0.001901,0.001901
7,218.751,0.80216,0.49641,1.03535,0.9805,0.98584,0.9936,0.80378,0.73317,0.38854,0.99271,0.0018812,0.0018812,0.0018812
8,249.579,0.78202,0.4718,1.02911,0.98301,0.98313,0.99256,0.80274,0.71718,0.37873,0.97876,0.0018614,0.0018614,0.0018614
9,280.232,0.77917,0.46543,1.01841,0.97471,0.98796,0.99353,0.81065,0.71586,0.39216,0.98844,0.0018416,0.0018416,0.0018416
10,310.956,0.75317,0.45381,1.0117,0.97768,0.96955,0.9904,0.79893,0.72299,0.39672,0.98997,0.0018218,0.0018218,0.0018218
11,342.025,0.75867,0.44625,1.01521,0.98343,0.98371,0.99331,0.81357,0.71136,0.36362,0.98537,0.001802,0.001802,0.001802
12,372.849,0.749,0.43631,1.01222,0.98344,0.98796,0.9935,0.8197,0.68988,0.3443,0.97819,0.0017822,0.0017822,0.0017822
13,403.533,0.73825,0.42714,1.00745,0.98167,0.98589,0.99394,0.84093,0.68193,0.3427,0.97454,0.0017624,0.0017624,0.0017624
14,434.54,0.7287,0.41966,1.00459,0.98725,0.98681,0.99419,0.82673,0.66171,0.33128,0.96829,0.0017426,0.0017426,0.0017426
15,465.586,0.71835,0.41454,0.99847,0.98587,0.98836,0.99409,0.8395,0.67013,0.33133,0.97142,0.0017228,0.0017228,0.0017228
16,496.152,0.71657,0.40901,0.99774,0.98239,0.98767,0.99246,0.82898,0.65036,0.33689,0.95651,0.001703,0.001703,0.001703
17,526.241,0.70394,0.39606,0.98907,0.98315,0.99151,0.99434,0.84497,0.65786,0.33275,0.96695,0.0016832,0.0016832,0.0016832
18,556.259,0.70184,0.39851,0.99066,0.98742,0.9915,0.99453,0.84046,0.65567,0.31489,0.95605,0.0016634,0.0016634,0.0016634
19,586.204,0.69733,0.39389,0.99156,0.98871,0.99251,0.99383,0.85343,0.66563,0.32056,0.96622,0.0016436,0.0016436,0.0016436
20,616.22,0.69188,0.38735,0.98553,0.98445,0.9864,0.99408,0.84548,0.64906,0.31566,0.94497,0.0016238,0.0016238,0.0016238
21,646.22,0.68155,0.3855,0.98098,0.98036,0.98972,0.99315,0.84605,0.63407,0.31791,0.93034,0.001604,0.001604,0.001604
22,676.396,0.67328,0.37668,0.97868,0.98531,0.98584,0.99342,0.85295,0.64746,0.30969,0.94986,0.0015842,0.0015842,0.0015842
23,706.291,0.67497,0.37984,0.97646,0.98689,0.98725,0.99414,0.86767,0.62269,0.30483,0.93024,0.0015644,0.0015644,0.0015644
24,736.755,0.66709,0.3691,0.97116,0.98586,0.98762,0.9934,0.85015,0.62862,0.29791,0.92399,0.0015446,0.0015446,0.0015446
25,767.88,0.6546,0.36776,0.96971,0.98563,0.9915,0.99369,0.84898,0.63538,0.30659,0.96278,0.0015248,0.0015248,0.0015248
26,799.657,0.65923,0.3677,0.97236,0.98754,0.98654,0.9924,0.86094,0.6305,0.29713,0.93218,0.001505,0.001505,0.001505
27,830.676,0.64316,0.35709,0.96236,0.98543,0.98938,0.99337,0.868,0.60097,0.29843,0.9382,0.0014852,0.0014852,0.0014852
28,862.057,0.63252,0.35542,0.95886,0.98708,0.99079,0.99462,0.87398,0.59092,0.29471,0.92298,0.0014654,0.0014654,0.0014654
29,893.084,0.63828,0.35374,0.96446,0.97701,0.99221,0.99248,0.86703,0.59924,0.30539,0.92605,0.0014456,0.0014456,0.0014456
30,924.254,0.63172,0.35363,0.95867,0.98379,0.98831,0.99276,0.86884,0.59922,0.29553,0.92136,0.0014258,0.0014258,0.0014258
31,955.589,0.62836,0.34612,0.95676,0.98818,0.98229,0.99421,0.87488,0.59523,0.30011,0.91307,0.001406,0.001406,0.001406
32,987.02,0.61631,0.34317,0.95438,0.97834,0.99171,0.99404,0.87974,0.57885,0.287,0.93512,0.0013862,0.0013862,0.0013862
33,1018.46,0.6145,0.34273,0.95201,0.9817,0.98785,0.99418,0.87003,0.60628,0.29244,0.9266,0.0013664,0.0013664,0.0013664
34,1049.68,0.61166,0.33659,0.95312,0.97206,0.9915,0.99285,0.84697,0.65198,0.31525,1.00501,0.0013466,0.0013466,0.0013466
35,1080.93,0.60948,0.34184,0.9503,0.98759,0.98867,0.99386,0.88752,0.55691,0.26533,0.90116,0.0013268,0.0013268,0.0013268
36,1112.39,0.60267,0.33585,0.94791,0.98656,0.98782,0.99419,0.87829,0.58208,0.28312,0.929,0.001307,0.001307,0.001307
37,1143.41,0.5935,0.3295,0.94743,0.98266,0.983,0.99354,0.85166,0.63319,0.30173,0.95884,0.0012872,0.0012872,0.0012872
38,1174.61,0.58107,0.32733,0.94236,0.98658,0.98888,0.9942,0.89018,0.55023,0.26855,0.91202,0.0012674,0.0012674,0.0012674
39,1206.06,0.59097,0.32494,0.94236,0.98437,0.99008,0.9942,0.88224,0.53987,0.2661,0.89263,0.0012476,0.0012476,0.0012476
40,1239.22,0.57619,0.31954,0.93662,0.98602,0.98938,0.99396,0.89142,0.5441,0.26427,0.90118,0.0012278,0.0012278,0.0012278
41,1270.9,0.57553,0.3187,0.93651,0.98898,0.98442,0.99424,0.89767,0.52892,0.27563,0.89657,0.001208,0.001208,0.001208
42,1302.28,0.57129,0.31968,0.93295,0.98042,0.99008,0.99267,0.89174,0.53694,0.26315,0.894,0.0011882,0.0011882,0.0011882
43,1333.51,0.56566,0.31662,0.92667,0.98652,0.99008,0.99406,0.89838,0.53278,0.25946,0.89906,0.0011684,0.0011684,0.0011684
44,1364.96,0.56619,0.31504,0.93489,0.98769,0.98159,0.99409,0.90134,0.54064,0.26757,0.90604,0.0011486,0.0011486,0.0011486
45,1397.24,0.56722,0.31278,0.93174,0.98791,0.98796,0.99446,0.89759,0.5433,0.25764,0.90586,0.0011288,0.0011288,0.0011288
46,1428.58,0.56009,0.31319,0.92914,0.98653,0.98559,0.99332,0.89752,0.54304,0.26281,0.90369,0.001109,0.001109,0.001109
