epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.034,1.07609,0.82812,1.29754,0.69496,0.7415,0.80042,0.52991,1.26524,2.23952,1.51394,0.000665523,0.000665523,0.000665523
2,196.014,1.08153,0.75022,1.30021,0.92564,0.96105,0.97811,0.73697,0.92585,0.7206,1.20545,0.001319,0.001319,0.001319
3,286.735,1.00848,0.66878,1.24769,0.94439,0.95822,0.98324,0.72544,0.92445,0.59068,1.20416,0.00195928,0.00195928,0.00195928
4,375.437,0.94534,0.6072,1.2088,0.95959,0.98584,0.99172,0.7636,0.81218,0.53227,1.13855,0.0019406,0.0019406,0.0019406
5,462.862,0.90251,0.56736,1.19608,0.92029,0.94547,0.98112,0.76611,0.81516,0.61053,1.12608,0.0019208,0.0019208,0.0019208
6,550.42,0.88244,0.54232,1.1748,0.97633,0.96413,0.98913,0.78808,0.79059,0.40316,1.11974,0.001901,0.001901,0.001901
7,638.858,0.85253,0.51749,1.15148,0.98082,0.97759,0.99198,0.80097,0.74689,0.38393,1.09117,0.0018812,0.0018812,0.0018812
8,726.344,0.8291,0.48969,1.13647,0.9711,0.97573,0.99158,0.795,0.74753,0.37455,1.09301,0.0018614,0.0018614,0.0018614
9,813.506,0.817,0.48495,1.12965,0.98028,0.986,0.99317,0.81328,0.70881,0.35418,1.06742,0.0018416,0.0018416,0.0018416
10,900.675,0.79941,0.46571,1.11995,0.98361,0.9777,0.99338,0.81316,0.71504,0.34185,1.06758,0.0018218,0.0018218,0.0018218
11,989.083,0.78718,0.46578,1.11389,0.97751,0.98371,0.99342,0.80654,0.75072,0.38053,1.09069,0.001802,0.001802,0.001802
12,1076.53,0.78053,0.45972,1.11368,0.97747,0.97521,0.99339,0.81301,0.70852,0.36263,1.0619,0.0017822,0.0017822,0.0017822
13,1163.8,0.76293,0.44282,1.1006,0.97158,0.98513,0.99339,0.82594,0.70478,0.34081,1.0654,0.0017624,0.0017624,0.0017624
14,1250.24,0.76491,0.44164,1.10234,0.97616,0.97734,0.99277,0.82327,0.68818,0.35323,1.06323,0.0017426,0.0017426,0.0017426
15,1338.78,0.74894,0.42809,1.09357,0.98048,0.98229,0.99351,0.81914,0.68968,0.32509,1.05437,0.0017228,0.0017228,0.0017228
16,1426.52,0.74213,0.42718,1.09024,0.96787,0.98725,0.99253,0.83711,0.67525,0.32259,1.04474,0.001703,0.001703,0.001703
17,1513.58,0.73899,0.4221,1.08663,0.97697,0.99128,0.99393,0.82909,0.67804,0.31898,1.04994,0.0016832,0.0016832,0.0016832
18,1599.9,0.7242,0.41101,1.07657,0.9818,0.98513,0.99414,0.83914,0.67074,0.31695,1.04798,0.0016634,0.0016634,0.0016634
19,1688.1,0.71387,0.40445,1.07256,0.97326,0.98796,0.99364,0.83771,0.66906,0.32654,1.03657,0.0016436,0.0016436,0.0016436
20,1775.16,0.71219,0.40228,1.07028,0.97901,0.99116,0.99428,0.83644,0.65286,0.30503,1.03667,0.0016238,0.0016238,0.0016238
21,1861.59,0.70278,0.39153,1.06471,0.98532,0.98938,0.99433,0.84499,0.64397,0.30152,1.03256,0.001604,0.001604,0.001604
22,1947.94,0.70019,0.39307,1.06486,0.98155,0.983,0.99394,0.85005,0.64687,0.31191,1.0266,0.0015842,0.0015842,0.0015842
23,2035.94,0.69369,0.38555,1.05921,0.97587,0.98938,0.99312,0.85443,0.64342,0.29025,1.03161,0.0015644,0.0015644,0.0015644
24,2123.14,0.68554,0.38791,1.05672,0.97797,0.98088,0.99394,0.85951,0.6499,0.3018,1.02678,0.0015446,0.0015446,0.0015446
25,2209.27,0.67604,0.377,1.047,0.98585,0.98442,0.99431,0.85105,0.63205,0.29349,1.0122,0.0015248,0.0015248,0.0015248
26,2295.78,0.66588,0.36472,1.04952,0.98225,0.98725,0.99411,0.85488,0.61893,0.28878,1.01784,0.001505,0.001505,0.001505
27,2383.54,0.66184,0.36935,1.04439,0.98518,0.98876,0.99431,0.86889,0.61359,0.27849,1.00256,0.0014852,0.0014852,0.0014852
28,2471.13,0.66315,0.36471,1.03973,0.98726,0.98754,0.9944,0.85636,0.61729,0.29024,1.00852,0.0014654,0.0014654,0.0014654
