epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6195,1.00244,0.79253,1.18565,0.58172,0.85482,0.59964,0.39481,1.07043,2.34501,1.32455,0.000664384,0.000664384,0.000664384
2,165.698,1.02132,0.70284,1.20718,0.89097,0.8966,0.94231,0.63307,1.17744,0.9991,1.37287,0.00131787,0.00131787,0.00131787
3,245.525,0.97767,0.65153,1.19131,0.9555,0.94476,0.97469,0.74157,0.86443,0.55689,1.15582,0.00195816,0.00195816,0.00195816
4,322.13,0.90866,0.58338,1.14859,0.91612,0.92047,0.97342,0.7723,0.77659,0.6013,1.08863,0.0019406,0.0019406,0.0019406
5,398.929,0.88247,0.55554,1.13875,0.97787,0.96388,0.99226,0.77415,0.79283,0.41352,1.10537,0.0019208,0.0019208,0.0019208
6,475.266,0.85757,0.52943,1.12674,0.97886,0.95326,0.98806,0.78499,0.77385,0.43777,1.09045,0.001901,0.001901,0.001901
7,552.392,0.81579,0.50295,1.10397,0.96918,0.98371,0.99233,0.79949,0.76472,0.39464,1.07873,0.0018812,0.0018812,0.0018812
8,629.534,0.80268,0.47615,1.09496,0.97268,0.97805,0.99285,0.79904,0.7283,0.3887,1.05622,0.0018614,0.0018614,0.0018614
9,706.815,0.79026,0.46489,1.08388,0.97467,0.98229,0.99301,0.79635,0.75649,0.38782,1.08144,0.0018416,0.0018416,0.0018416
10,784.184,0.76597,0.45448,1.06929,0.98313,0.97805,0.99337,0.80877,0.723,0.35538,1.06284,0.0018218,0.0018218,0.0018218
11,861.463,0.76753,0.44232,1.07207,0.98231,0.98299,0.99397,0.82156,0.6977,0.34061,1.04767,0.001802,0.001802,0.001802
12,938.084,0.74922,0.43317,1.06417,0.98866,0.98751,0.99421,0.82538,0.68004,0.35535,1.0393,0.0017822,0.0017822,0.0017822
13,1014.83,0.74251,0.42813,1.06013,0.97446,0.97285,0.99312,0.81887,0.68894,0.34186,1.03263,0.0017624,0.0017624,0.0017624
