epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6114,0.98035,1.11503,1.14654,0.87462,0.96034,0.93769,0.69372,0.94066,0.88254,1.19257,0.000664384,0.000664384,0.000664384
2,95.6795,0.94166,0.64189,1.12627,0.89805,0.92635,0.96464,0.70223,1.01056,0.74524,1.2082,0.00131787,0.00131787,0.00131787
3,137.978,0.91765,0.61535,1.11614,0.96579,0.96601,0.98963,0.75394,0.84569,0.52176,1.11399,0.00195816,0.00195816,0.00195816
4,180.429,0.87977,0.56317,1.09926,0.98084,0.94275,0.97745,0.7566,0.81083,0.63759,1.09361,0.0019406,0.0019406,0.0019406
5,222.783,0.86476,0.54227,1.09311,0.97896,0.9745,0.99225,0.77823,0.81121,0.42285,1.0705,0.0019208,0.0019208,0.0019208
6,265.085,0.83138,0.51687,1.08181,0.97805,0.98654,0.99366,0.79929,0.73271,0.40456,1.02464,0.001901,0.001901,0.001901
7,307.29,0.7918,0.48344,1.06102,0.98003,0.97734,0.99351,0.80582,0.73801,0.41387,1.04227,0.0018812,0.0018812,0.0018812
8,349.573,0.78621,0.47086,1.05327,0.98506,0.97946,0.99368,0.81154,0.7273,0.37608,1.02408,0.0018614,0.0018614,0.0018614
9,391.827,0.77581,0.46156,1.04659,0.97975,0.98088,0.98963,0.80234,0.69864,0.38714,1.01525,0.0018416,0.0018416,0.0018416
10,434.017,0.74753,0.44682,1.03504,0.98521,0.98371,0.99398,0.82426,0.69267,0.35569,1.00825,0.0018218,0.0018218,0.0018218
11,476.19,0.7476,0.43663,1.03461,0.97901,0.97096,0.99294,0.82528,0.67905,0.3528,1.01352,0.001802,0.001802,0.001802
12,518.419,0.73872,0.42456,1.03094,0.97747,0.98321,0.99332,0.82637,0.67752,0.34047,1.01411,0.0017822,0.0017822,0.0017822
13,560.689,0.72205,0.41964,1.02558,0.97839,0.98654,0.99372,0.82578,0.68298,0.34043,1.00289,0.0017624,0.0017624,0.0017624
14,602.678,0.71785,0.41581,1.01659,0.98548,0.98725,0.99416,0.83131,0.67331,0.34052,1.00512,0.0017426,0.0017426,0.0017426
15,645.04,0.70685,0.40441,1.0148,0.97935,0.98725,0.99396,0.84264,0.67204,0.3255,0.99908,0.0017228,0.0017228,0.0017228
16,687.083,0.69852,0.40139,1.00824,0.98372,0.98433,0.99413,0.85187,0.64748,0.31785,0.9901,0.001703,0.001703,0.001703
17,729.013,0.68559,0.3885,0.99729,0.98212,0.98796,0.994,0.84365,0.63772,0.3188,0.98117,0.0016832,0.0016832,0.0016832
18,771.006,0.68227,0.38386,0.99852,0.98611,0.98725,0.99441,0.84853,0.65395,0.32704,1.00279,0.0016634,0.0016634,0.0016634
19,813.114,0.67502,0.38128,0.99517,0.97964,0.988,0.9939,0.86374,0.62994,0.31172,0.97031,0.0016436,0.0016436,0.0016436
20,855.337,0.67054,0.37404,0.99067,0.98696,0.98584,0.99444,0.86537,0.62344,0.31217,0.97224,0.0016238,0.0016238,0.0016238
21,897.591,0.65287,0.3726,0.98467,0.98165,0.9852,0.99402,0.86294,0.62121,0.30793,0.97801,0.001604,0.001604,0.001604
22,939.826,0.64841,0.3653,0.98219,0.98521,0.98867,0.9943,0.86595,0.62123,0.30118,0.97408,0.0015842,0.0015842,0.0015842
23,982.197,0.64861,0.36694,0.97976,0.98585,0.98938,0.99457,0.86978,0.60153,0.30738,0.95817,0.0015644,0.0015644,0.0015644
24,1024.16,0.63879,0.3545,0.97873,0.98466,0.98796,0.99424,0.8701,0.60727,0.29656,0.961,0.0015446,0.0015446,0.0015446
25,1067.04,0.62464,0.35394,0.97536,0.98276,0.98513,0.99367,0.87649,0.5827,0.29801,0.94986,0.0015248,0.0015248,0.0015248
26,1110.24,0.63297,0.35421,0.98142,0.98096,0.99008,0.99386,0.87149,0.59585,0.29627,0.96083,0.001505,0.001505,0.001505
27,1153.62,0.61809,0.34772,0.96715,0.98588,0.9915,0.99424,0.88082,0.57981,0.28501,0.94854,0.0014852,0.0014852,0.0014852
28,1197.21,0.60635,0.34091,0.96018,0.9824,0.99079,0.99456,0.8839,0.58685,0.28584,0.95316,0.0014654,0.0014654,0.0014654
29,1240.59,0.60911,0.34569,0.96289,0.98395,0.98654,0.99331,0.89259,0.55135,0.28394,0.92906,0.0014456,0.0014456,0.0014456
30,1283.88,0.60311,0.33687,0.96171,0.99006,0.98796,0.99445,0.87715,0.58455,0.29021,0.94286,0.0014258,0.0014258,0.0014258
31,1327.47,0.59834,0.33724,0.9569,0.98379,0.98862,0.99427,0.8922,0.56397,0.27828,0.9334,0.001406,0.001406,0.001406
32,1371.18,0.58501,0.32707,0.95199,0.98171,0.9886,0.99407,0.89307,0.55667,0.28844,0.92832,0.0013862,0.0013862,0.0013862
33,1414.65,0.58324,0.32678,0.94919,0.98378,0.98773,0.99366,0.89458,0.55129,0.28932,0.92947,0.0013664,0.0013664,0.0013664
34,1458.59,0.58003,0.32487,0.95157,0.98373,0.98513,0.99391,0.8924,0.55591,0.28384,0.9325,0.0013466,0.0013466,0.0013466
35,1502.69,0.58208,0.33101,0.95365,0.9859,0.98229,0.99429,0.88894,0.55495,0.28122,0.922,0.0013268,0.0013268,0.0013268
36,1545.62,0.57032,0.32221,0.94252,0.98856,0.98725,0.9937,0.89774,0.53155,0.26669,0.91573,0.001307,0.001307,0.001307
37,1587.94,0.56483,0.31815,0.9436,0.98576,0.98022,0.994,0.89207,0.53224,0.28504,0.90808,0.0012872,0.0012872,0.0012872
38,1630.07,0.55342,0.31692,0.93385,0.98171,0.99008,0.99371,0.88983,0.54037,0.27232,0.9243,0.0012674,0.0012674,0.0012674
39,1672.19,0.5556,0.31226,0.93502,0.98773,0.98017,0.99441,0.88655,0.52981,0.26355,0.90555,0.0012476,0.0012476,0.0012476
40,1714.55,0.54531,0.30956,0.93012,0.98192,0.98867,0.99432,0.90605,0.51665,0.25806,0.91093,0.0012278,0.0012278,0.0012278
41,1756.26,0.54078,0.30731,0.92884,0.98232,0.98867,0.99414,0.90253,0.52289,0.25977,0.91628,0.001208,0.001208,0.001208
42,1798.45,0.53758,0.30105,0.93064,0.98656,0.988,0.99424,0.90565,0.5236,0.25962,0.9195,0.0011882,0.0011882,0.0011882
43,1840.61,0.5333,0.30223,0.93171,0.98346,0.9915,0.99421,0.91007,0.52611,0.25919,0.91711,0.0011684,0.0011684,0.0011684
44,1882.55,0.52793,0.29772,0.92765,0.98036,0.98995,0.99335,0.91042,0.50478,0.26072,0.91005,0.0011486,0.0011486,0.0011486
45,1924.55,0.52862,0.29767,0.92658,0.98406,0.9915,0.99412,0.90901,0.51219,0.24612,0.91131,0.0011288,0.0011288,0.0011288
46,1966.78,0.52274,0.29512,0.92359,0.9872,0.98332,0.99401,0.91699,0.50604,0.2597,0.91205,0.001109,0.001109,0.001109
47,2009.95,0.52369,0.29431,0.92347,0.98966,0.98371,0.99422,0.91492,0.50193,0.27205,0.90896,0.0010892,0.0010892,0.0010892
48,2052.75,0.51291,0.29315,0.91914,0.99193,0.98371,0.99416,0.91548,0.5043,0.25228,0.91378,0.0010694,0.0010694,0.0010694
49,2094.83,0.50563,0.28507,0.91789,0.98452,0.98796,0.99415,0.91833,0.4986,0.24895,0.91023,0.0010496,0.0010496,0.0010496
50,2136.95,0.50373,0.28873,0.92091,0.98721,0.98367,0.99381,0.91554,0.49992,0.25062,0.91454,0.0010298,0.0010298,0.0010298
51,2179,0.50415,0.28432,0.92015,0.99147,0.98821,0.99441,0.9217,0.49401,0.24609,0.90835,0.00101,0.00101,0.00101
52,2221.21,0.49385,0.27922,0.91551,0.98516,0.98726,0.99389,0.92446,0.47307,0.24219,0.89819,0.0009902,0.0009902,0.0009902
53,2263.42,0.49269,0.27973,0.91176,0.98579,0.98654,0.99379,0.9185,0.48188,0.24458,0.8991,0.0009704,0.0009704,0.0009704
54,2305.51,0.49265,0.27961,0.9102,0.98517,0.9915,0.99368,0.92059,0.48507,0.24143,0.9084,0.0009506,0.0009506,0.0009506
55,2347.68,0.48264,0.277,0.90902,0.98534,0.98584,0.9937,0.91,0.48046,0.2469,0.90278,0.0009308,0.0009308,0.0009308
56,2389.73,0.48256,0.27282,0.90792,0.98107,0.99077,0.99355,0.91475,0.4689,0.24174,0.89427,0.000911,0.000911,0.000911
57,2431.86,0.47878,0.27067,0.90542,0.98972,0.983,0.99384,0.92373,0.47167,0.23812,0.89562,0.0008912,0.0008912,0.0008912
58,2473.79,0.47782,0.26917,0.90689,0.98105,0.9898,0.99353,0.91787,0.48279,0.24654,0.90313,0.0008714,0.0008714,0.0008714
59,2516.17,0.47194,0.26865,0.90543,0.98771,0.98513,0.99391,0.92664,0.46461,0.23547,0.88399,0.0008516,0.0008516,0.0008516
60,2558.12,0.47345,0.27138,0.89779,0.99145,0.98371,0.9941,0.92726,0.4708,0.23762,0.89376,0.0008318,0.0008318,0.0008318
61,2600.16,0.46865,0.26928,0.90444,0.98938,0.98969,0.99437,0.929,0.46432,0.22655,0.8978,0.000812,0.000812,0.000812
62,2640.78,0.45968,0.25886,0.89438,0.98725,0.98747,0.99399,0.93403,0.45072,0.22144,0.88199,0.0007922,0.0007922,0.0007922
63,2677.86,0.45812,0.2606,0.89638,0.99049,0.98442,0.99432,0.92904,0.4666,0.23251,0.89158,0.0007724,0.0007724,0.0007724
64,2715.08,0.45539,0.25451,0.89494,0.98922,0.98867,0.99415,0.936,0.44954,0.21255,0.88013,0.0007526,0.0007526,0.0007526
65,2752.43,0.45587,0.25629,0.89811,0.98064,0.99363,0.99423,0.933,0.45507,0.2209,0.89131,0.0007328,0.0007328,0.0007328
66,2789.59,0.44862,0.25376,0.89576,0.98808,0.98229,0.99419,0.93515,0.45195,0.22526,0.8907,0.000713,0.000713,0.000713
67,2826.49,0.44693,0.2525,0.89429,0.98173,0.98918,0.99361,0.93355,0.45351,0.22521,0.89546,0.0006932,0.0006932,0.0006932
68,2863.54,0.44158,0.24799,0.89011,0.9896,0.98442,0.99393,0.93133,0.45082,0.22041,0.88618,0.0006734,0.0006734,0.0006734
69,2900.58,0.43927,0.24866,0.89018,0.98532,0.98584,0.99406,0.93875,0.43498,0.20973,0.87707,0.0006536,0.0006536,0.0006536
70,2937.69,0.43449,0.24591,0.88687,0.98714,0.98725,0.99389,0.93402,0.44285,0.21399,0.87974,0.0006338,0.0006338,0.0006338
71,2974.99,0.42839,0.24175,0.88602,0.98453,0.98938,0.99364,0.93087,0.44974,0.22594,0.88679,0.000614,0.000614,0.000614
72,3012.06,0.42786,0.24352,0.8858,0.98863,0.9851,0.99401,0.93856,0.44054,0.21557,0.87826,0.0005942,0.0005942,0.0005942
73,3049.37,0.42503,0.23954,0.88422,0.98774,0.98796,0.99407,0.93426,0.44286,0.21862,0.87718,0.0005744,0.0005744,0.0005744
74,3086.4,0.42062,0.23719,0.88382,0.98797,0.98914,0.99397,0.93854,0.43615,0.21436,0.87598,0.0005546,0.0005546,0.0005546
75,3123.76,0.41612,0.23788,0.88153,0.98295,0.99008,0.99384,0.94047,0.43093,0.2112,0.87918,0.0005348,0.0005348,0.0005348
76,3160.86,0.41276,0.23472,0.87832,0.98664,0.98938,0.99418,0.9404,0.42738,0.20915,0.87314,0.000515,0.000515,0.000515
77,3197.68,0.41491,0.23476,0.87998,0.98687,0.98938,0.99397,0.93914,0.42917,0.20729,0.87655,0.0004952,0.0004952,0.0004952
78,3234.84,0.41048,0.23142,0.88289,0.99077,0.98835,0.99382,0.94105,0.42565,0.20192,0.88086,0.0004754,0.0004754,0.0004754
79,3271.89,0.40409,0.22721,0.87899,0.98981,0.99008,0.99398,0.94044,0.43207,0.19957,0.88666,0.0004556,0.0004556,0.0004556
80,3309.15,0.39626,0.22696,0.87652,0.98819,0.98725,0.99401,0.93929,0.42625,0.2002,0.87959,0.0004358,0.0004358,0.0004358
81,3346.41,0.40398,0.22791,0.87868,0.98908,0.98725,0.99379,0.93857,0.42772,0.20466,0.88008,0.000416,0.000416,0.000416
82,3383.61,0.39576,0.22317,0.87151,0.99075,0.98573,0.99397,0.94089,0.42046,0.20679,0.87277,0.0003962,0.0003962,0.0003962
83,3420.86,0.39582,0.22256,0.87321,0.9922,0.98654,0.99385,0.94252,0.41765,0.20084,0.87126,0.0003764,0.0003764,0.0003764
84,3458.2,0.39462,0.22059,0.87342,0.99084,0.983,0.99413,0.94291,0.41479,0.20235,0.86575,0.0003566,0.0003566,0.0003566
85,3495.32,0.38417,0.21664,0.86867,0.98993,0.98229,0.99408,0.94244,0.41881,0.20569,0.86939,0.0003368,0.0003368,0.0003368
86,3532.39,0.38924,0.21472,0.87059,0.99214,0.98383,0.99411,0.94443,0.41696,0.2029,0.87195,0.000317,0.000317,0.000317
87,3569.47,0.381,0.21242,0.87061,0.99154,0.98584,0.99413,0.94575,0.41126,0.19702,0.86965,0.0002972,0.0002972,0.0002972
88,3606.48,0.38153,0.21413,0.87006,0.98935,0.98867,0.99427,0.94458,0.41455,0.19815,0.86839,0.0002774,0.0002774,0.0002774
89,3643.51,0.38385,0.21233,0.86987,0.98935,0.98673,0.9942,0.94523,0.41284,0.19909,0.86813,0.0002576,0.0002576,0.0002576
90,3680.7,0.37202,0.20849,0.86518,0.99075,0.98623,0.99424,0.94504,0.40837,0.19895,0.86683,0.0002378,0.0002378,0.0002378
91,3729.68,0.34763,0.17874,0.84166,0.9916,0.98371,0.99405,0.93986,0.41965,0.20469,0.86829,0.000218,0.000218,0.000218
92,3766.48,0.33923,0.17461,0.83886,0.99285,0.98278,0.99392,0.93938,0.42064,0.20653,0.87164,0.0001982,0.0001982,0.0001982
93,3803.55,0.3301,0.17222,0.83779,0.98699,0.98513,0.99406,0.94122,0.41615,0.205,0.87037,0.0001784,0.0001784,0.0001784
94,3840.27,0.32649,0.16754,0.83574,0.98681,0.98584,0.99407,0.94347,0.40887,0.20655,0.86739,0.0001586,0.0001586,0.0001586
95,3877.21,0.32513,0.16975,0.8373,0.99016,0.98513,0.99411,0.94457,0.40708,0.20617,0.87013,0.0001388,0.0001388,0.0001388
96,3913.76,0.32234,0.16687,0.8334,0.98764,0.98584,0.99398,0.94559,0.40764,0.20827,0.86912,0.000119,0.000119,0.000119
97,3950.38,0.32015,0.16511,0.8363,0.99145,0.98563,0.99397,0.9446,0.40495,0.20256,0.86982,9.92e-05,9.92e-05,9.92e-05
98,3986.94,0.31492,0.16295,0.83225,0.99075,0.98612,0.99406,0.94633,0.40378,0.20189,0.87041,7.94e-05,7.94e-05,7.94e-05
99,4023.68,0.31452,0.16275,0.83115,0.99004,0.98556,0.99406,0.94632,0.40277,0.20148,0.86781,5.96e-05,5.96e-05,5.96e-05
100,4060.42,0.30901,0.16049,0.82943,0.98866,0.98753,0.99404,0.94597,0.40254,0.20069,0.86777,3.98e-05,3.98e-05,3.98e-05
