epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.226,1.12338,0.94685,1.33473,0.7929,0.8812,0.89458,0.61453,1.09769,1.75053,1.3785,0.000665523,0.000665523,0.000665523
2,288.389,1.09755,0.77165,1.31162,0.95003,0.96947,0.98992,0.73292,0.94189,0.64592,1.20797,0.001319,0.001319,0.001319
3,426.812,1.01808,0.69379,1.25363,0.96243,0.95467,0.98537,0.72172,1.01996,0.56159,1.25834,0.00195928,0.00195928,0.00195928
4,565,0.95831,0.61351,1.21821,0.97782,0.96808,0.99024,0.76158,0.82167,0.52029,1.14177,0.0019406,0.0019406,0.0019406
5,703.665,0.90972,0.57869,1.20198,0.9704,0.97507,0.99204,0.77388,0.81698,0.45386,1.12928,0.0019208,0.0019208,0.0019208
6,842.757,0.89618,0.55732,1.18274,0.97823,0.96955,0.99118,0.791,0.76078,0.44874,1.09296,0.001901,0.001901,0.001901
7,981.639,0.86157,0.51909,1.15927,0.97804,0.97802,0.99234,0.78822,0.7606,0.39073,1.0928,0.0018812,0.0018812,0.0018812
8,1119.58,0.84096,0.50121,1.14421,0.9788,0.98101,0.99332,0.79764,0.74035,0.36307,1.0752,0.0018614,0.0018614,0.0018614
9,1258.44,0.81712,0.47897,1.13213,0.97633,0.98229,0.99322,0.8017,0.76141,0.36432,1.09741,0.0018416,0.0018416,0.0018416
10,1396.64,0.81198,0.46654,1.12842,0.98244,0.99038,0.99394,0.80242,0.73292,0.34489,1.07964,0.0018218,0.0018218,0.0018218
11,1535.61,0.78705,0.46463,1.11579,0.97963,0.98771,0.9938,0.81485,0.7372,0.33783,1.08259,0.001802,0.001802,0.001802
12,1675.31,0.77734,0.45461,1.11151,0.98086,0.97983,0.99308,0.80971,0.69504,0.3523,1.06033,0.0017822,0.0017822,0.0017822
13,1812.87,0.76503,0.43925,1.10139,0.97995,0.98513,0.99369,0.81353,0.70993,0.34859,1.05906,0.0017624,0.0017624,0.0017624
14,1951.14,0.76908,0.44215,1.10399,0.97888,0.9849,0.99313,0.82384,0.69336,0.33819,1.05893,0.0017426,0.0017426,0.0017426
15,2089.6,0.74769,0.42876,1.09284,0.98457,0.98159,0.99344,0.83058,0.6879,0.32258,1.05484,0.0017228,0.0017228,0.0017228
16,2227.51,0.74222,0.42475,1.08958,0.98278,0.97023,0.9929,0.82909,0.69671,0.33153,1.0531,0.001703,0.001703,0.001703
17,2365.9,0.74205,0.42577,1.08879,0.98666,0.98371,0.99358,0.82776,0.67475,0.32163,1.0433,0.0016832,0.0016832,0.0016832
18,2504.03,0.72066,0.40696,1.07679,0.98512,0.98796,0.99381,0.82875,0.68694,0.31071,1.05162,0.0016634,0.0016634,0.0016634
19,2642.22,0.7158,0.39925,1.0736,0.98242,0.98961,0.99407,0.83266,0.68125,0.31708,1.04224,0.0016436,0.0016436,0.0016436
20,2781.41,0.71506,0.40066,1.07068,0.98236,0.9858,0.99385,0.83317,0.65517,0.32789,1.03163,0.0016238,0.0016238,0.0016238
21,2918.45,0.69728,0.38535,1.06085,0.98488,0.98442,0.99392,0.8378,0.65461,0.30715,1.03288,0.001604,0.001604,0.001604
22,3056.44,0.69961,0.39128,1.06454,0.98789,0.98215,0.994,0.85415,0.63178,0.30187,1.01993,0.0015842,0.0015842,0.0015842
23,3193.13,0.7025,0.39001,1.06288,0.97824,0.98709,0.99351,0.84397,0.66689,0.31139,1.03427,0.0015644,0.0015644,0.0015644
24,3330.29,0.69141,0.38594,1.05836,0.98001,0.98442,0.9937,0.84263,0.63977,0.30216,1.02245,0.0015446,0.0015446,0.0015446
25,3467.73,0.67206,0.37082,1.04561,0.97932,0.99221,0.9941,0.85468,0.62063,0.29489,1.01072,0.0015248,0.0015248,0.0015248
26,3604.49,0.67223,0.37169,1.05291,0.98653,0.98229,0.99382,0.86031,0.61062,0.29564,1.00872,0.001505,0.001505,0.001505
27,3741.86,0.66387,0.36996,1.04564,0.9863,0.98867,0.99447,0.86227,0.62041,0.28362,1.00643,0.0014852,0.0014852,0.0014852
28,3879.61,0.65828,0.36485,1.03707,0.98552,0.98584,0.99392,0.86855,0.61331,0.28871,1.00243,0.0014654,0.0014654,0.0014654
29,4016.74,0.65838,0.36611,1.04126,0.98151,0.98513,0.99402,0.86502,0.61099,0.28848,1.00427,0.0014456,0.0014456,0.0014456
30,4153.53,0.65437,0.36046,1.03843,0.98596,0.98725,0.99414,0.86889,0.59887,0.2837,0.99465,0.0014258,0.0014258,0.0014258
31,4290.57,0.63297,0.34654,1.02665,0.98435,0.99008,0.99403,0.86775,0.597,0.27673,0.9958,0.001406,0.001406,0.001406
32,4427.42,0.62335,0.34593,1.02379,0.98805,0.98229,0.99402,0.86646,0.59353,0.27937,1.00215,0.0013862,0.0013862,0.0013862
33,4565.2,0.64062,0.35103,1.02787,0.99096,0.9915,0.99406,0.87533,0.59103,0.26669,0.99424,0.0013664,0.0013664,0.0013664
34,4702.43,0.62756,0.34807,1.02431,0.98795,0.98725,0.99401,0.86371,0.60235,0.27728,0.99056,0.0013466,0.0013466,0.0013466
35,4840.34,0.62589,0.34532,1.02101,0.9886,0.98305,0.99416,0.88036,0.59469,0.26834,0.98969,0.0013268,0.0013268,0.0013268
36,4978.35,0.6099,0.3378,1.01005,0.98653,0.98548,0.99386,0.88569,0.58684,0.27546,0.98702,0.001307,0.001307,0.001307
37,5115.04,0.61011,0.33225,1.01016,0.98816,0.98654,0.99342,0.88123,0.57325,0.27186,0.98637,0.0012872,0.0012872,0.0012872
38,5253.07,0.60216,0.33101,1.00824,0.98981,0.98725,0.99412,0.89022,0.54952,0.2524,0.96923,0.0012674,0.0012674,0.0012674
39,5390.48,0.59427,0.32763,1.00394,0.98727,0.98513,0.99392,0.87693,0.55872,0.26729,0.97103,0.0012476,0.0012476,0.0012476
40,5527.93,0.59677,0.32936,1.00289,0.9835,0.99079,0.99342,0.88857,0.5615,0.26212,0.97422,0.0012278,0.0012278,0.0012278
41,5665.17,0.57951,0.32063,0.99308,0.98938,0.98921,0.99407,0.88523,0.55714,0.254,0.97003,0.001208,0.001208,0.001208
42,5801.75,0.58809,0.32652,0.99789,0.99015,0.98725,0.99406,0.88658,0.5591,0.26332,0.97094,0.0011882,0.0011882,0.0011882
43,5939.14,0.56824,0.31292,0.98683,0.98703,0.99008,0.99331,0.88708,0.54745,0.24739,0.96849,0.0011684,0.0011684,0.0011684
44,6076.04,0.56886,0.31482,0.98698,0.98938,0.98442,0.99306,0.89047,0.53163,0.25416,0.95426,0.0011486,0.0011486,0.0011486
45,6212.84,0.56275,0.31391,0.98547,0.98934,0.98614,0.99372,0.90329,0.52689,0.25476,0.96216,0.0011288,0.0011288,0.0011288
46,6350.89,0.55516,0.30839,0.97884,0.98726,0.98817,0.99335,0.89137,0.5348,0.24298,0.96184,0.001109,0.001109,0.001109
47,6487.58,0.54765,0.30546,0.97663,0.98485,0.99079,0.99433,0.89657,0.53788,0.24554,0.96346,0.0010892,0.0010892,0.0010892
48,6624.79,0.55031,0.30584,0.98164,0.98652,0.98499,0.99387,0.90127,0.53758,0.25766,0.96394,0.0010694,0.0010694,0.0010694
49,6762.09,0.53969,0.29595,0.96949,0.98935,0.98648,0.99378,0.90631,0.50918,0.2378,0.95128,0.0010496,0.0010496,0.0010496
50,6898.81,0.53398,0.29983,0.97184,0.98712,0.98938,0.99405,0.89906,0.53139,0.24897,0.96736,0.0010298,0.0010298,0.0010298
