Video,Label,Method,Reps
front_9rep.mp4,正面 (Front) 【横撮り】,Proposed (Hybrid),10
front_9rep.mp4,正面 (Front) 【横撮り】,Comp A (Pose Only),12
right_9rep.mp4,右側面 (Right) 【横撮り】,Proposed (Hybrid),22
right_9rep.mp4,右側面 (Right) 【横撮り】,Comp A (Pose Only),12
noplate_left_10rep.mp4,左側面 (Left),Proposed (Hybrid),12
noplate_left_10rep.mp4,左側面 (Left),Comp A (Pose Only),5
front_10rep_mirror.mp4,正面 (縦撮り),Proposed (Hybrid),4
front_10rep_mirror.mp4,正面 (縦撮り),Comp A (Pose Only),2
front_5rep.mp4,正面 (縦撮り),Proposed (Hybrid),5
front_5rep.mp4,正面 (縦撮り),Comp A (Pose Only),5
right_5rep.mp4,右側面 (Right) 【縦撮り】,Proposed (Hybrid),6
right_5rep.mp4,右側面 (Right) 【縦撮り】,Comp A (Pose Only),3
