Video,Label,Method,Reps,FPS
front_9rep.mp4,正面 (Front) 【横撮り】,Proposed (Hybrid),10,38.3
front_9rep.mp4,正面 (Front) 【横撮り】,Comp A (Pose Only),12,37.5
right_9rep.mp4,右側面 (Right) 【横撮り】,Proposed (Hybrid),18,38.3
right_9rep.mp4,右側面 (Right) 【横撮り】,Comp A (Pose Only),12,41.8
noplate_left_10rep.mp4,左側面 (Left),Proposed (Hybrid),8,39.2
noplate_left_10rep.mp4,左側面 (Left),Comp A (Pose Only),5,42.6
front_10rep_mirror.mp4,正面 (縦撮り),Proposed (Hybrid),5,39.8
front_10rep_mirror.mp4,正面 (縦撮り),Comp A (Pose Only),34,43.0
front_5rep.mp4,正面 (縦撮り),Proposed (Hybrid),5,40.9
front_5rep.mp4,正面 (縦撮り),Comp A (Pose Only),5,36.3
right_5rep.mp4,右側面 (Right) 【縦撮り】,Proposed (Hybrid),6,40.1
right_5rep.mp4,右側面 (Right) 【縦撮り】,Comp A (Pose Only),3,42.1
